Id,square,street,neighborhood,yearBuilt,yearSold,salePrice
1,8450,Pave,CollgCr,2003,2008,208500
2,9600,Pave,Veenker,1976,2007,181500
3,11250,Pave,CollgCr,2001,2008,223500
4,9550,Pave,Crawfor,1915,2006,140000
5,14260,Pave,NoRidge,2000,2008,250000
6,14115,Pave,Mitchel,1993,2009,143000
7,10084,Pave,Somerst,2004,2007,307000
8,10382,Pave,NWAmes,1973,2009,200000
9,6120,Pave,OldTown,1931,2008,129900
10,7420,Pave,BrkSide,1939,2008,118000
11,11200,Pave,Sawyer,1965,2008,129500
12,11924,Pave,NridgHt,2005,2006,345000
13,12968,Pave,Sawyer,1962,2008,144000
14,10652,Pave,CollgCr,2006,2007,279500
15,10920,Pave,NAmes,1960,2008,157000
16,6120,Pave,BrkSide,1929,2007,132000
17,11241,Pave,NAmes,1970,2010,149000
18,10791,Pave,Sawyer,1967,2006,90000
19,13695,Pave,SawyerW,2004,2008,159000
20,7560,Pave,NAmes,1958,2009,139000
21,14215,Pave,NridgHt,2005,2006,325300
22,7449,Pave,IDOTRR,1930,2007,139400
23,9742,Pave,CollgCr,2002,2008,230000
24,4224,Pave,MeadowV,1976,2007,129900
25,8246,Pave,Sawyer,1968,2010,154000
26,14230,Pave,NridgHt,2007,2009,256300
27,7200,Pave,NAmes,1951,2010,134800
28,11478,Pave,NridgHt,2007,2010,306000
29,16321,Pave,NAmes,1957,2006,207500
30,6324,Pave,BrkSide,1927,2008,68500
31,8500,Pave,IDOTRR,1920,2008,40000
32,8544,Pave,Sawyer,1966,2008,149350
33,11049,Pave,CollgCr,2007,2008,179900
34,10552,Pave,NAmes,1959,2010,165500
35,7313,Pave,NridgHt,2005,2007,277500
36,13418,Pave,NridgHt,2004,2006,309000
37,10859,Pave,CollgCr,1994,2009,145000
38,8532,Pave,NAmes,1954,2009,153000
39,7922,Pave,NAmes,1953,2010,109000
40,6040,Pave,Edwards,1955,2008,82000
41,8658,Pave,NAmes,1965,2006,160000
42,16905,Pave,Timber,1959,2007,170000
43,9180,Pave,SawyerW,1983,2007,144000
44,9200,Pave,CollgCr,1975,2008,130250
45,7945,Pave,NAmes,1959,2006,141000
46,7658,Pave,NridgHt,2005,2010,319900
47,12822,Pave,Mitchel,2003,2009,239686
48,11096,Pave,Somerst,2006,2007,249700
49,4456,Pave,OldTown,1920,2009,113000
50,7742,Pave,Sawyer,1966,2007,127000
51,13869,Pave,Gilbert,1997,2007,177000
52,6240,Pave,BrkSide,1934,2006,114500
53,8472,Grvl,IDOTRR,1963,2010,110000
54,50271,Pave,Veenker,1981,2006,385000
55,7134,Pave,NAmes,1955,2007,130000
56,10175,Pave,NAmes,1964,2008,180500
57,2645,Pave,Somerst,1999,2009,172500
58,11645,Pave,CollgCr,2004,2006,196500
59,13682,Pave,StoneBr,2006,2006,438780
60,7200,Pave,CollgCr,1972,2008,124900
61,13072,Pave,SawyerW,2004,2006,158000
62,7200,Pave,IDOTRR,1920,2007,101000
63,6442,Pave,NridgHt,2006,2007,202500
64,10300,Pave,OldTown,1921,2010,140000
65,9375,Pave,CollgCr,1997,2009,219500
66,9591,Pave,NridgHt,2004,2007,317000
67,19900,Pave,NAmes,1970,2010,180000
68,10665,Pave,CollgCr,2003,2007,226000
69,4608,Pave,OldTown,1945,2010,80000
70,15593,Pave,ClearCr,1953,2006,225000
71,13651,Pave,NAmes,1973,2007,244000
72,7599,Pave,Mitchel,1982,2007,129500
73,10141,Pave,Gilbert,1998,2009,185000
74,10200,Pave,NAmes,1954,2010,144900
75,5790,Pave,OldTown,1915,2010,107400
76,1596,Pave,MeadowV,1973,2009,91000
77,8475,Pave,NAmes,1956,2008,135750
78,8635,Pave,BrkSide,1948,2008,127000
79,10778,Pave,Sawyer,1968,2010,136500
80,10440,Pave,OldTown,1910,2009,110000
81,13000,Pave,NAmes,1968,2009,193500
82,4500,Pave,Mitchel,1998,2006,153500
83,10206,Pave,Somerst,2007,2008,245000
84,8892,Pave,NAmes,1960,2007,126500
85,8530,Pave,Gilbert,1995,2009,168500
86,16059,Pave,NoRidge,1991,2006,260000
87,11911,Pave,Gilbert,2005,2009,174000
88,3951,Pave,Somerst,2009,2009,164500
89,8470,Pave,IDOTRR,1915,2009,85000
90,8070,Pave,CollgCr,1994,2007,123600
91,7200,Pave,NAmes,1950,2006,109900
92,8500,Pave,NAmes,1961,2006,98600
93,13360,Pave,Crawfor,1921,2009,163500
94,7200,Pave,OldTown,1910,2007,133900
95,9337,Pave,CollgCr,1997,2007,204750
96,9765,Pave,Gilbert,1993,2009,185000
97,10264,Pave,CollgCr,1999,2006,214000
98,10921,Pave,Edwards,1965,2007,94750
99,10625,Pave,Edwards,1920,2010,83000
100,9320,Pave,NAmes,1959,2010,128950
101,10603,Pave,NWAmes,1977,2010,205000
102,9206,Pave,SawyerW,1985,2010,178000
103,7018,Pave,SawyerW,1979,2009,118964
104,10402,Pave,CollgCr,2009,2010,198900
105,7758,Pave,IDOTRR,1931,2007,169500
106,9375,Pave,Somerst,2003,2008,250000
107,10800,Pave,OldTown,1885,2007,100000
108,6000,Pave,OldTown,1948,2008,115000
109,8500,Pave,IDOTRR,1919,2007,115000
110,11751,Pave,NWAmes,1977,2010,190000
111,9525,Pave,Edwards,1954,2006,136900
112,7750,Pave,Gilbert,2000,2010,180000
113,9965,Pave,CollgCr,2007,2007,383970
114,21000,Pave,Crawfor,1953,2007,217000
115,7259,Pave,Crawfor,1945,2007,259500
116,3230,Pave,Somerst,1999,2007,176000
117,11616,Pave,Sawyer,1962,2009,139000
118,8536,Pave,Edwards,2006,2007,155000
119,12376,Pave,SawyerW,1990,2010,320000
120,8461,Pave,CollgCr,2005,2006,163990
121,21453,Pave,ClearCr,1969,2006,180000
122,6060,Pave,IDOTRR,1939,2007,100000
123,9464,Pave,NAmes,1958,2008,136000
124,7892,Pave,SawyerW,1993,2008,153900
125,17043,Pave,NWAmes,1979,2009,181000
126,6780,Pave,IDOTRR,1935,2006,84500
127,4928,Pave,NPkVill,1976,2007,128000
128,4388,Pave,OldTown,1930,2007,87000
129,7590,Pave,NAmes,1966,2006,155000
130,8973,Pave,NAmes,1958,2006,150000
131,14200,Pave,NAmes,1966,2006,226000
132,12224,Pave,Gilbert,2000,2009,244000
133,7388,Pave,NAmes,1959,2007,150750
134,6853,Pave,Timber,2001,2009,220000
135,10335,Pave,Sawyer,1968,2006,180000
136,10400,Pave,NWAmes,1970,2008,174000
137,10355,Pave,NAmes,1967,2007,143000
138,11070,Pave,Mitchel,1988,2006,171000
139,9066,Pave,CollgCr,1999,2008,230000
140,15426,Pave,CollgCr,1997,2009,231500
141,10500,Pave,NAmes,1971,2010,115000
142,11645,Pave,CollgCr,2005,2006,260000
143,8520,Pave,NAmes,1952,2010,166000
144,10335,Pave,CollgCr,1999,2009,204000
145,9100,Pave,Sawyer,1963,2006,125000
146,2522,Pave,Edwards,2004,2006,130000
147,6120,Pave,BrkSide,1931,2009,105000
148,9505,Pave,Gilbert,2001,2010,222500
149,7500,Pave,SawyerW,2004,2008,141000
150,6240,Pave,BrkSide,1936,2006,115000
151,10356,Pave,CollgCr,1975,2007,122000
152,13891,Pave,NridgHt,2007,2008,372402
153,14803,Pave,NWAmes,1971,2006,190000
154,13500,Pave,ClearCr,1960,2008,235000
155,11340,Pave,OldTown,1923,2006,125000
156,9600,Pave,Edwards,1924,2008,79000
157,7200,Pave,NAmes,1950,2006,109500
158,12003,Pave,Timber,2009,2010,269500
159,12552,Pave,Somerst,2004,2010,254900
160,19378,Pave,Gilbert,2005,2006,320000
161,11120,Pave,Veenker,1984,2008,162500
162,13688,Pave,NridgHt,2003,2008,412500
163,12182,Pave,NridgHt,2005,2010,220000
164,5500,Pave,OldTown,1956,2007,103200
165,5400,Pave,OldTown,1926,2007,152000
166,10106,Pave,Edwards,1940,2008,127500
167,10708,Pave,ClearCr,1955,2009,190000
168,10562,Pave,NridgHt,2007,2007,325624
169,8244,Pave,Gilbert,2004,2007,183500
170,16669,Pave,Timber,1981,2006,228000
171,12358,Pave,OldTown,1941,2007,128500
172,31770,Pave,NAmes,1960,2010,215000
173,5306,Pave,StoneBr,1987,2006,239000
174,10197,Pave,NAmes,1961,2008,163000
175,12416,Pave,Timber,1986,2008,184000
176,12615,Pave,Edwards,1950,2007,243000
177,10029,Pave,ClearCr,1988,2007,211000
178,13650,Pave,Sawyer,1958,2006,172500
179,17423,Pave,StoneBr,2008,2009,501837
180,8520,Pave,OldTown,1923,2007,100000
181,2117,Pave,Somerst,2000,2007,177000
182,7588,Pave,Crawfor,1920,2006,200100
183,9060,Pave,Edwards,1957,2007,120000
184,11426,Pave,OldTown,2003,2008,200000
185,7438,Pave,BrkSide,1908,2006,127000
186,22950,Pave,OldTown,1892,2006,475000
187,9947,Pave,Mitchel,1990,2009,173000
188,10410,Pave,OldTown,1916,2009,135000
189,7018,Pave,SawyerW,1979,2009,153337
190,4923,Pave,StoneBr,2001,2008,286000
191,10570,Pave,Crawfor,1932,2007,315000
192,7472,Pave,NAmes,1972,2007,184000
193,9017,Pave,CollgCr,1999,2009,192000
194,2522,Pave,Edwards,2004,2006,130000
195,7180,Pave,CollgCr,1972,2008,127000
196,2280,Pave,NPkVill,1976,2009,148500
197,9416,Pave,Somerst,2007,2007,311872
198,25419,Pave,NAmes,1918,2006,235000
199,5520,Pave,OldTown,1912,2009,104000
200,9591,Pave,NridgHt,2004,2009,274900
201,8546,Pave,Edwards,2003,2010,140000
202,10125,Pave,Mitchel,1977,2008,171500
203,7000,Pave,OldTown,1924,2006,112000
204,4438,Pave,CollgCr,2004,2008,149000
205,3500,Pave,OldTown,1947,2009,110000
206,11851,Pave,Gilbert,1990,2009,180500
207,13673,Pave,Sawyer,1962,2007,143900
208,12493,Pave,NAmes,1960,2008,141000
209,14364,Pave,SawyerW,1988,2007,277000
210,8250,Pave,NAmes,1964,2008,145000
211,5604,Pave,Edwards,1925,2008,98000
212,10420,Pave,Edwards,2009,2010,186000
213,8640,Pave,Somerst,2009,2009,252678
214,13568,Pave,CollgCr,1995,2006,156000
215,10900,Pave,CollgCr,1977,2010,161750
216,10011,Pave,NAmes,1957,2006,134450
217,8450,Pave,CollgCr,2004,2008,210000
218,9906,Pave,OldTown,1925,2006,107000
219,15660,Pave,Crawfor,1939,2008,311500
220,3010,Pave,Blmngtn,2005,2006,167240
221,8990,Pave,CollgCr,2006,2006,204900
222,8068,Pave,Gilbert,2002,2009,200000
223,11475,Pave,NWAmes,1975,2006,179900
224,10500,Pave,NAmes,1971,2009,97000
225,13472,Pave,NridgHt,2003,2009,386250
226,1680,Pave,BrDale,1971,2009,112000
227,9950,Pave,NoRidge,1995,2007,290000
228,1869,Pave,BrDale,1970,2008,106000
229,8521,Pave,Sawyer,1967,2010,125000
230,3182,Pave,Blmngtn,2005,2009,192500
231,8760,Pave,NAmes,1959,2010,148000
232,15138,Pave,NoRidge,1995,2009,403000
233,1680,Pave,BrDale,1972,2006,94500
234,10650,Pave,CollgCr,1976,2010,128200
235,7851,Pave,Gilbert,2002,2010,216500
236,1680,Pave,BrDale,1971,2008,89500
237,8773,Pave,CollgCr,2004,2010,185500
238,9453,Pave,SawyerW,1993,2010,194500
239,12030,Pave,NridgHt,2007,2007,318000
240,8741,Pave,Edwards,1945,2010,113000
241,9000,Pave,Somerst,2008,2010,262500
242,3880,Pave,OldTown,1945,2007,110500
243,5000,Pave,OldTown,1900,2006,79000
244,10762,Pave,SawyerW,1980,2009,120000
245,8880,Pave,SawyerW,1994,2010,205000
246,10400,Pave,NWAmes,1988,2006,241500
247,9142,Pave,OldTown,1910,2006,137000
248,11310,Pave,NAmes,1954,2006,140000
249,11317,Pave,CollgCr,2003,2007,180000
250,159000,Pave,ClearCr,1958,2007,277000
251,5350,Pave,BrkSide,1940,2010,76500
252,4750,Pave,Crawfor,2006,2007,235000
253,8366,Pave,SawyerW,2004,2008,173000
254,9350,Pave,NAmes,1964,2007,158000
255,8400,Pave,NAmes,1957,2010,145000
256,8738,Pave,Gilbert,1999,2006,230000
257,8791,Pave,Somerst,2003,2008,207500
258,8814,Pave,CollgCr,2006,2009,220000
259,12435,Pave,CollgCr,2001,2008,231500
260,12702,Pave,OldTown,1956,2008,97000
261,19296,Pave,NAmes,1962,2009,176000
262,9588,Pave,CollgCr,2007,2007,276000
263,8471,Pave,Sawyer,1977,2006,151000
264,5500,Pave,OldTown,1929,2010,130000
265,5232,Pave,OldTown,1925,2008,73000
266,12090,Pave,NWAmes,1981,2008,175500
267,11207,Pave,Gilbert,1997,2006,185000
268,8400,Pave,SWISU,1939,2008,179500
269,6900,Pave,IDOTRR,1940,2008,120500
270,7917,Pave,Edwards,1976,2007,148000
271,10728,Pave,Somerst,2006,2006,266000
272,39104,Pave,ClearCr,1954,2008,241500
273,11764,Pave,NoRidge,1999,2010,290000
274,9600,Pave,NAmes,1958,2009,139000
275,8314,Pave,Mitchel,1982,2007,124500
276,7264,Pave,BrkSide,1925,2009,205000
277,9196,Pave,Mitchel,2003,2010,201000
278,19138,Pave,Gilbert,1951,2010,141000
279,14450,Pave,NridgHt,2006,2007,415298
280,10005,Pave,ClearCr,1977,2008,192000
281,11287,Pave,SawyerW,1989,2007,228500
282,7200,Pave,Somerst,2006,2006,185000
283,5063,Pave,NridgHt,2007,2009,207500
284,9612,Pave,Somerst,2008,2009,244600
285,8012,Pave,SawyerW,1992,2007,179200
286,4251,Pave,Somerst,2006,2007,164700
287,9786,Pave,NAmes,1962,2006,159000
288,8125,Pave,NAmes,1971,2006,88000
289,9819,Pave,Sawyer,1967,2010,122000
290,8730,Pave,BrkSide,1915,2007,153575
291,15611,Pave,CollgCr,2006,2006,233230
292,5687,Pave,SWISU,1912,2008,135900
293,11409,Pave,Edwards,1949,2009,131000
294,16659,Pave,NWAmes,1977,2006,235000
295,9600,Pave,NAmes,1953,2009,167000
296,7937,Pave,Mitchel,1984,2006,142500
297,13710,Pave,IDOTRR,1950,2007,152000
298,7399,Pave,Somerst,1997,2007,239000
299,11700,Pave,NWAmes,1968,2007,175000
300,14000,Pave,Crawfor,1950,2009,158500
301,15750,Pave,Crawfor,1953,2006,157000
302,16226,Pave,CollgCr,1998,2007,267000
303,13704,Pave,CollgCr,2001,2006,205000
304,9800,Pave,CollgCr,1972,2006,149900
305,18386,Pave,OldTown,1880,2008,295000
306,10386,Pave,CollgCr,2004,2007,305900
307,13474,Pave,SawyerW,1990,2007,225000
308,7920,Pave,IDOTRR,1920,2008,89500
309,12342,Pave,Edwards,1940,2009,82500
310,12378,Pave,NridgHt,2003,2006,360000
311,7685,Pave,Gilbert,1993,2006,165600
312,8000,Pave,NAmes,1948,2009,132000
313,7800,Pave,OldTown,1939,2006,119900
314,215245,Pave,Timber,1965,2009,375000
315,9600,Pave,OldTown,1925,2006,178000
316,7795,Pave,Gilbert,2004,2009,188500
317,13005,Pave,NWAmes,1980,2009,260000
318,9000,Pave,Somerst,2006,2007,270000
319,9900,Pave,NoRidge,1993,2009,260000
320,14115,Pave,NWAmes,1980,2009,187500
321,16259,Pave,NridgHt,2006,2006,342643
322,12099,Pave,NridgHt,2004,2007,354000
323,10380,Pave,SawyerW,1986,2007,301000
324,5820,Pave,OldTown,1955,2006,126175
325,11275,Pave,NAmes,1967,2010,242000
326,5000,Pave,IDOTRR,1941,2007,87000
327,10846,Pave,Veenker,1993,2008,324000
328,11600,Pave,NAmes,1960,2006,145250
329,11888,Pave,BrkSide,1916,2009,214500
330,6402,Pave,IDOTRR,1920,2009,78000
331,10624,Pave,NAmes,1964,2007,119000
332,8176,Pave,NAmes,1958,2007,139000
333,10655,Pave,NridgHt,2003,2009,284000
334,8198,Pave,NridgHt,2004,2008,207000
335,9042,Pave,Gilbert,1998,2008,192000
336,164660,Grvl,Timber,1965,2008,228950
337,14157,Pave,StoneBr,2005,2007,377426
338,9135,Pave,CollgCr,2002,2008,214000
339,14145,Pave,NWAmes,1984,2006,202500
340,12400,Pave,NAmes,1958,2009,155000
341,14191,Pave,Timber,2002,2010,202900
342,8400,Pave,SawyerW,1950,2009,82000
343,8544,Pave,NAmes,1949,2006,87500
344,8849,Pave,NridgHt,2005,2008,266000
345,2592,Pave,MeadowV,1976,2010,85000
346,6435,Pave,BrkSide,1939,2006,140200
347,12772,Pave,NAmes,1960,2007,151500
348,17600,Pave,NAmes,1960,2009,157500
349,2448,Pave,NridgHt,2003,2008,154000
350,20431,Pave,NridgHt,2005,2006,437154
351,7820,Pave,NridgHt,2007,2007,318061
352,5271,Pave,ClearCr,1986,2006,190000
353,9084,Pave,Edwards,1941,2008,95000
354,8520,Pave,OldTown,1928,2010,105900
355,8400,Pave,SWISU,1940,2006,140000
356,11249,Pave,CollgCr,1995,2007,177500
357,9248,Pave,Gilbert,1992,2009,173000
358,4224,Pave,MeadowV,1976,2007,134000
359,6930,Pave,ClearCr,1958,2006,130000
360,12011,Pave,NoRidge,1998,2006,280000
361,7540,Pave,Mitchel,1978,2007,156000
362,9144,Pave,BrkSide,1940,2008,145000
363,7301,Pave,Edwards,2003,2009,198500
364,1680,Pave,BrDale,1972,2009,118000
365,18800,Pave,NWAmes,1976,2006,190000
366,10690,Pave,IDOTRR,1920,2009,147000
367,9500,Pave,NAmes,1963,2009,159000
368,9150,Pave,NAmes,1962,2008,165000
369,7800,Pave,NAmes,1954,2010,132000
370,9830,Pave,NAmes,1959,2010,162000
371,8121,Pave,Gilbert,2000,2006,172400
372,17120,Pave,ClearCr,1959,2008,134432
373,7175,Pave,SawyerW,1984,2010,125000
374,10634,Pave,NAmes,1953,2009,123000
375,8200,Pave,CollgCr,2003,2007,219500
376,10020,Pave,Edwards,1922,2009,61000
377,8846,Pave,CollgCr,1996,2006,148000
378,11143,Pave,Somerst,2004,2007,340000
379,11394,Pave,StoneBr,2010,2010,394432
380,8123,Pave,Gilbert,2000,2009,179000
381,5000,Pave,SWISU,1924,2010,127000
382,7200,Pave,Somerst,2006,2006,187750
383,9245,Pave,CollgCr,2006,2007,213500
384,9000,Pave,SawyerW,1928,2009,76000
385,53107,Pave,ClearCr,1992,2007,240000
386,3182,Pave,Blmngtn,2004,2010,192000
387,8410,Pave,Edwards,1910,2006,81000
388,7200,Pave,Edwards,1976,2009,125000
389,9382,Pave,CollgCr,1999,2008,191000
390,12474,Pave,NridgHt,2007,2008,426000
